Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,asymmetric,symmetric,-13.152988404937204
100% Corpus,7,0.01,0.01,-13.293289530002214
100% Corpus,7,0.01,0.31,-13.469349958387571
100% Corpus,7,0.01,0.61,-13.316512106702646
100% Corpus,7,0.01,0.9099999999999999,-13.674864680956867
100% Corpus,7,0.01,symmetric,-13.340762692975886
100% Corpus,7,0.31,0.01,-13.043261960764267
100% Corpus,7,0.31,0.31,-13.355963656607775
100% Corpus,7,0.31,0.61,-13.395006064512918
100% Corpus,7,0.31,0.9099999999999999,-13.436637806064226
100% Corpus,7,0.31,symmetric,-13.713634836552034
100% Corpus,7,0.61,0.01,-12.6975261143522
100% Corpus,7,0.61,0.31,-12.619095540202169
100% Corpus,7,0.61,0.61,-12.781785016771916
100% Corpus,7,0.61,0.9099999999999999,-12.879293355696912
100% Corpus,7,0.61,symmetric,-13.164750983462639
100% Corpus,7,0.9099999999999999,0.01,-11.79618865852342
100% Corpus,7,0.9099999999999999,0.31,-12.71573264242475
100% Corpus,7,0.9099999999999999,0.61,-12.588221217415995
100% Corpus,7,0.9099999999999999,0.9099999999999999,-12.213594567835203
100% Corpus,7,0.9099999999999999,symmetric,-12.930055906846162
100% Corpus,7,symmetric,0.01,-12.460944887728255
100% Corpus,7,symmetric,0.31,-13.365102405520208
100% Corpus,7,symmetric,0.61,-12.884802857003846
100% Corpus,7,symmetric,0.9099999999999999,-13.564680706350773
100% Corpus,7,symmetric,symmetric,-13.548482511898536
100% Corpus,7,asymmetric,0.01,-11.586330180549457
100% Corpus,7,asymmetric,0.31,-13.361816274245626
100% Corpus,7,asymmetric,0.61,-14.00074779186009
100% Corpus,7,asymmetric,0.9099999999999999,-15.624755296317641
100% Corpus,7,asymmetric,symmetric,-13.247887394104765
100% Corpus,8,0.01,0.01,-13.205817438578435
100% Corpus,8,0.01,0.31,-13.192683590076996
100% Corpus,8,0.01,0.61,-13.308849606943557
100% Corpus,8,0.01,0.9099999999999999,-12.666406022387099
100% Corpus,8,0.01,symmetric,-13.249198581414934
100% Corpus,8,0.31,0.01,-13.90375432059671
100% Corpus,8,0.31,0.31,-13.674990962745845
100% Corpus,8,0.31,0.61,-13.411931739996803
100% Corpus,8,0.31,0.9099999999999999,-13.785791400256228
100% Corpus,8,0.31,symmetric,-13.563558886961951
100% Corpus,8,0.61,0.01,-13.138800945667525
